"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
40907,652,"West facade? (outside) Great Temple","Alabaster Fragment","TA.OC.32-33.001","1","","","T.A. 32-33   2.12.32  full size","","https://www.flickr.com/photos/25459876@N04/18491068319","Geraldine Dorel Ashby; Maria Christakou"
40907,975,"west facades, (outside) Great Temple","ALABASTER FRAGMENT","TA.OC.32-33.001","001","","","(date of discovery) 2.12.32; FULL SIZE","","https://www.flickr.com/photos/25459876@N04/18491068319","Geraldine Dorel Ashby; Maria Christakou"
40907,,"T.A. 32-33","ALABASTER FRAGMENT","TA.OC.32-33.001","1","","","2.12.32 West facades (outside) Great Temple (Full size)","","https://www.flickr.com/photos/25459876@N04/18491068319","Geraldine Dorel Ashby; Maria Christakou"
,,,,,,,,,,,
,,,,,,,,,,,
40908,652,"West facade S. (outside) Great Temple","Fragment of decorated calcite   Offering table(?)","TA.OC.32-33.002","2","","","TA 32-33  2.12.32  full scale   0.5","","https://www.flickr.com/photos/25459876@N04/18677256385","Geraldine Dorel Ashby; Maria Christakou"
40908,975,"West facade S. (outside) Great Temple.","Fragment of decorated calcite offering table (')","TA.OC.32-33.002","002","0.5","","(date of discovery) 2.12.32; full scale","","https://www.flickr.com/photos/25459876@N04/18677256385","Geraldine Dorel Ashby; Maria Christakou"
40908,,"T.A. 32.33","Offering Table (?)","TA.OC.32-33.002","2","0.5","","2.12.32 West facade S. (outside) Great Temple.  Fragment of decorated calcite.  Full scale.","","https://www.flickr.com/photos/25459876@N04/18677256385","Geraldine Dorel Ashby; Maria Christakou"
,,,,,,,,,,,
,,,,,,,,,,,
40909,652,"","Limestone fragment","TA.OC.32-33.003","3","","","TA 32-33 2.12.32  Half Size","","https://www.flickr.com/photos/25459876@N04/18489489568","Geraldine Dorel Ashby; Maria Christakou"
40909,975,"","Limestone fragment","TA.OC.32-33.003","3","","","(date of discovery) 2.12.32; half size","","https://www.flickr.com/photos/25459876@N04/18489489568","Geraldine Dorel Ashby; Maria Christakou"
40909,,"T.A. 32-33","Limestone fragment","TA.OC.32-33.003","3","","","2.12.32.  Half size.","","https://www.flickr.com/photos/25459876@N04/18489489568","Geraldine Dorel Ashby; Maria Christakou"
,,,,,,,,,,,
,,,,,,,,,,,
40910,975,"","Object (stone)","TA.OC.32-33.004","004","","","(date of discovery) 2.12.32; full size; section","","https://www.flickr.com/photos/25459876@N04/18672504412","Geraldine Dorel Ashby"
