"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
42642,433,"Tell el Amarna","None","TA.OC.28-29","None","None given","None given","1-402 (150 is missing); 2 cards 65 (glazed frag. U.36.26; bronze needles U.36.21); 2 cards 66 (bronze knife U.36.21; hair ring U.36.26)","","https://www.flickr.com/photos/25459876@N04/18885147682","Joellen mcGann; Van C. Vives; Susan Magyarody"
42642,658,"U","Tell el Amarna 1928-1929","TA.OC.28-29","2 cards: 65","","","","","https://www.flickr.com/photos/25459876@N04/18885147682","Joellen mcGann; Van C. Vives; Susan Magyarody"
42642,717,"","Tell el Armarna - 1928-1929","TA.OC.28-29","","","","1- 402 (150 is [...]ming)[;]2 cards 65 (glazed frag.  u.36.26[;]bronze needles  u.36.21[;]2 cards 66 (bronze knife  u.36.21[;]hair ring  u.36.26","Very little on card.","https://www.flickr.com/photos/25459876@N04/18885147682","Joellen mcGann; Van C. Vives; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
42643,433,"House V.36.3 Cellar","Granite platter (see also Nos. 38, 39, 40, 41)","TA.OC.28-29.001","1","None given","Left at N.House","T.A. 28-29; 23 x 6","","https://www.flickr.com/photos/25459876@N04/18702661838","Joellen mcGann; Van C. Vives; Susan Magyarody"
42643,658,"V.36.3","House Cellar granite platter","TA.OC.28-29.001","1 (see also Nos. 38, 39, 40, 41","","","left at N. House.","","https://www.flickr.com/photos/25459876@N04/18702661838","Joellen mcGann; Van C. Vives; Susan Magyarody"
42643,717,"T.A.[;]20-2g","Granite Platter","TA.OC.28-29.001","1","","","(see also nos. 38, 39, 40, 41)[;] Left at N. House[;]House V.36.3 Cellar","","https://www.flickr.com/photos/25459876@N04/18702661838","Joellen mcGann; Van C. Vives; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
42644,433,"House V.36.3","Granite rubber","TA.OC.28-29.002","2","None given","Glasgow","T.A. 28-29; 14 x 12","","https://www.flickr.com/photos/25459876@N04/18704182629","Joellen mcGann; Van C. Vives; Susan Magyarody"
42644,658,"V.36.3","Granite rubber","TA.OC.28-29.002","2","","Glasgow","14 x 12","","https://www.flickr.com/photos/25459876@N04/18704182629","Joellen mcGann; Van C. Vives; Susan Magyarody"
42644,717,"T.A.[;] 28-29","Granite Rubber","TA.OC.28-29.002","2","","Glasgow","House V.36.3[;]","","https://www.flickr.com/photos/25459876@N04/18704182629","Joellen mcGann; Van C. Vives; Susan Magyarody"
,,,,,,,,,,,
,,,,,,,,,,,
42645,433,"House V.36.3","Bone net spacer?","TA.OC.28-29.003","3","None given","Egyptian Soc. East Anglia","T.A. 28-29; 10 x 1.6","","https://www.flickr.com/photos/25459876@N04/18885146672","Joellen mcGann; Van C. Vives; Susan Magyarody"
